# Redshift peak_mF106
2.1112 25.7715
0.6515 23.2215
2.7088 28.2898
2.7674 29.4537
1.2982 24.6189
0.9609 24.2079
0.8752 23.9753
1.1975 24.8203
1.0500 24.6996
1.2556 24.3080
0.6912 23.7441
1.7523 25.1279
2.3550 27.1931
1.8906 26.0662
1.3469 23.8998
1.7236 25.7976
0.8200 23.9187
2.2811 26.8311
2.2160 26.9811
1.3647 24.7028
2.1166 26.1282
0.3945 22.6422
1.6702 24.8699
2.8680 28.4512
1.1856 25.4241
2.5711 27.9044
1.1069 24.4558
1.8525 25.7211
1.2082 24.5739
1.0937 24.5512
2.5401 27.6688
1.9886 26.1412
1.6503 25.4429
0.8870 23.6220
0.7679 23.8412
1.8188 25.6609
1.2249 24.4084
2.3255 26.7008
0.7669 23.4245
1.0648 24.6667
2.2742 26.4920
1.2796 24.5091
0.9807 23.7113
2.5461 27.9351
1.3701 24.7297
1.0852 24.7594
0.8926 23.9424
0.5395 23.0148
1.4593 24.6782
1.8593 25.2319
0.7512 23.3280
1.6952 25.4509
2.3920 27.1448
1.0360 24.8477
1.2608 24.4954
1.8217 26.0399
0.9162 23.4236
2.1493 27.0225
2.4221 27.9037
1.7092 25.2015
0.5349 23.1688
1.8611 25.8831
1.9157 25.7391
1.2719 24.8408
1.4893 25.2227
2.1454 26.1778
0.7644 23.9502
1.9670 25.7404
1.4422 25.3941
1.2440 25.4262
0.9588 23.8095
1.4140 25.7922
0.8002 23.6806
1.9498 26.1610
1.3113 25.3112
1.3471 24.6179
0.7755 23.7919
0.7574 23.4985
1.2692 24.8159
2.9558 29.1066
0.7924 23.7556
2.4835 27.2848
2.2084 26.9854
1.1661 24.1699
1.3923 25.1287
2.5960 27.1598
0.7150 23.5392
1.8062 25.1542
2.4080 27.4064
1.2590 24.3611
2.3391 26.5332
1.7676 25.6312
1.4623 25.0469
2.3816 27.0908
0.9225 24.3693
1.8520 25.4440
1.0909 24.3365
1.1090 24.4686
0.8929 23.6829
2.9975 29.4699
0.7141 23.5839
3.0136 29.3345
0.8108 23.8224
1.2056 24.4722
2.7688 28.2577
0.5221 22.7358
2.0609 26.1694
2.4107 26.6444
0.6118 23.3105
0.8218 24.1940
1.0922 24.5692
2.5178 27.2045
1.5577 24.5186
2.2037 26.5419
0.9902 24.6184
2.3181 26.5527
1.1943 24.4177
1.8253 26.2296
2.0779 26.6487
0.3660 22.7396
1.8843 26.7418
2.0224 26.1711
2.5978 28.5193
1.6709 25.1723
1.1419 24.6971
1.5695 24.7028
2.0493 25.7192
2.2327 25.9540
0.7812 23.9420
1.1929 24.8188
2.1196 26.2812
1.3297 24.8633
1.5178 25.5216
2.5027 26.5508
1.0206 24.0320
1.5930 25.6196
1.6397 25.3457
1.6226 25.4359
1.5670 25.0149
1.6691 25.0999
1.6111 25.4121
2.4176 26.4756
1.5286 24.7350
2.0853 25.8003
2.3785 28.4388
1.3837 24.6623
1.6861 24.9968
2.6048 27.0739
0.8243 23.7613
1.4618 25.3449
1.3994 24.6147
1.9348 26.3903
1.4890 25.0481
0.4326 22.9736
1.0670 24.5546
1.0677 24.3310
0.9911 24.1240
0.8837 24.0844
1.4321 25.2580
2.0005 25.7703
2.0186 26.0998
1.6109 25.8038
1.7561 25.1736
1.3139 24.4969
1.0858 24.1928
2.7696 28.5122
2.1123 26.4717
1.6288 25.6337
0.4388 22.8048
0.3422 22.7467
1.9691 25.7252
1.4064 25.0010
1.1383 24.5649
1.5986 25.9495
1.1957 24.6634
2.0846 26.0043
0.8353 23.6569
0.7840 23.8537
0.7457 23.4229
2.2964 26.9464
0.7302 23.6104
0.5722 22.8848
1.7428 25.4599
1.4758 24.8584
0.4043 21.4924
0.8219 23.3862
0.7718 23.5842
2.7196 28.0627
0.7106 23.9193
1.7624 25.6328
1.2471 24.7445
2.7033 28.2936
1.2644 24.6972
0.6067 23.3951
2.0150 26.0419
1.3534 24.4579
1.1578 24.3769
0.8839 24.0348
0.6623 23.0469
1.5971 25.4798
0.6994 23.1961
1.9335 25.5064
2.2312 27.0876
2.2597 26.5505
1.0353 24.3006
0.7988 23.5980
0.6081 23.3314
1.0955 24.4370
1.5881 25.3145
3.0231 29.3365
1.4054 24.7589
1.3288 24.4018
1.1569 24.3107
1.5857 25.0583
0.9000 24.1625
2.6440 27.2326
1.3012 25.1387
1.5414 24.8948
1.4773 25.2171
0.6507 23.1934
1.0167 23.8858
1.2128 23.8686
1.8472 25.9049
3.1430 30.3982
2.0954 26.0154
1.0974 24.4037
1.9855 26.1845
2.4850 26.7641
1.4823 24.7210
1.6644 25.4018
1.8402 25.0723
0.5876 23.2810
1.1361 24.4619
0.6989 23.5288
0.5295 23.3874
0.9484 24.3926
1.8988 26.3956
1.2479 24.3992
2.7457 27.7569
2.0273 25.9741
1.2398 24.5902
1.7169 25.0132
0.3714 22.4873
2.3981 26.7045
1.6144 26.0176
1.1970 24.7553
0.9666 23.6523
2.9496 30.7350
1.5658 24.9913
2.8328 28.9858
1.3499 24.3762
0.7951 23.7858
1.6860 25.2169
1.3323 24.8131
1.2263 25.3525
0.9963 24.4656
1.1535 24.5160
2.2801 27.4296
1.1844 25.2064
1.3280 24.3002
0.8266 23.9987
2.1635 26.7630
1.3619 24.6155
0.2175 21.7693
1.4773 25.2771
0.8035 23.8739
0.6720 23.4966
1.2662 24.1477
1.9790 26.4186
2.6110 27.3106
1.9342 25.7862
1.9244 25.2944
1.3807 24.7226
1.4913 24.7728
2.8477 29.1392
2.2271 26.0001
1.4993 24.8063
0.4303 22.7968
0.8249 23.5593
1.0072 24.3684
1.3706 24.4118
1.2850 24.5883
1.9571 26.4456
0.7428 23.4602
1.3561 24.6939
2.8597 28.5411
