Effective area for WFIRST (m^2) - parameters as of 2019 03 25

Mirror surfaces are coated with Ag

   Wave      R062      Z087      Y106      J129      H158      F184      W146    SNPrism   BAO-Grism_1st   BAO-Grism_0th
     0.690    2.0288    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.695    2.0513    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.700    2.0719    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.705    2.0887    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.710    2.1037    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.715    2.1176    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.720    2.1305    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.725    2.1429    0.0001    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.730    2.1553    0.0008    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.735    2.1617    0.0054    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000      0.0000      0.0000
     0.740    2.1510    0.0268    0.0000    0.0000    0.0000    0.0000    0.0000    0.0007      0.0000      0.0000
     0.745    2.0891    0.1005    0.0000    0.0000    0.0000    0.0000    0.0000    0.0930      0.0000      0.0000
     0.750    1.9133    0.2872    0.0000    0.0000    0.0000    0.0000    0.0000    1.0675      0.0000      0.0000
     0.755    1.5790    0.6358    0.0000    0.0000    0.0000    0.0000    0.0000    2.0548      0.0000      0.0000
     0.760    1.1141    1.1141    0.0000    0.0000    0.0000    0.0000    0.0000    2.1612      0.0000      0.0000
     0.765    0.6436    1.5983    0.0000    0.0000    0.0000    0.0000    0.0000    2.1751      0.0000      0.0000
     0.770    0.2944    1.9614    0.0000    0.0000    0.0000    0.0000    0.0000    2.1886      0.0000      0.0000
     0.775    0.1042    2.1651    0.0000    0.0000    0.0000    0.0000    0.0000    2.2017      0.0000      0.0000
     0.780    0.0281    2.2544    0.0000    0.0000    0.0000    0.0000    0.0000    2.2145      0.0000      0.0000
     0.785    0.0057    2.2897    0.0000    0.0000    0.0000    0.0000    0.0000    2.2270      0.0000      0.0000
     0.790    0.0009    2.3065    0.0000    0.0000    0.0000    0.0000    0.0000    2.2386      0.0000      0.0000
     0.795    0.0001    2.3189    0.0000    0.0000    0.0000    0.0000    0.0000    2.2500      0.0000      0.0000
     0.800    0.0000    2.3296    0.0000    0.0000    0.0000    0.0000    0.0000    2.2602      0.0000      0.0000
     0.805    0.0000    2.3393    0.0000    0.0000    0.0000    0.0000    0.0000    2.2696      0.0000      0.0000
     0.810    0.0000    2.3480    0.0000    0.0000    0.0000    0.0000    0.0000    2.2781      0.0000      0.0000
     0.815    0.0000    2.3556    0.0000    0.0000    0.0000    0.0000    0.0000    2.2855      0.0000      0.0000
     0.820    0.0000    2.3626    0.0000    0.0000    0.0000    0.0000    0.0000    2.2922      0.0000      0.0000
     0.825    0.0000    2.3701    0.0000    0.0000    0.0000    0.0000    0.0000    2.2995      0.0000      0.0000
     0.830    0.0000    2.3759    0.0000    0.0000    0.0000    0.0000    0.0000    2.3052      0.0000      0.0000
     0.835    0.0000    2.3806    0.0000    0.0000    0.0000    0.0000    0.0000    2.3097      0.0000      0.0000
     0.840    0.0000    2.3858    0.0000    0.0000    0.0000    0.0000    0.0000    2.3148      0.0000      0.0000
     0.845    0.0000    2.3901    0.0000    0.0000    0.0000    0.0000    0.0000    2.3189      0.0000      0.0000
     0.850    0.0000    2.3950    0.0000    0.0000    0.0000    0.0000    0.0000    2.3237      0.0000      0.0000
     0.855    0.0000    2.4009    0.0000    0.0000    0.0000    0.0000    0.0000    2.3294      0.0000      0.0000
     0.860    0.0000    2.4051    0.0000    0.0000    0.0000    0.0000    0.0000    2.3334      0.0000      0.0000
     0.865    0.0000    2.4100    0.0000    0.0000    0.0000    0.0000    0.0000    2.3383      0.0000      0.0000
     0.870    0.0000    2.4119    0.0000    0.0000    0.0000    0.0000    0.0000    2.3401      0.0000      0.0000
     0.875    0.0000    2.4151    0.0000    0.0000    0.0000    0.0000    0.0000    2.3432      0.0000      0.0000
     0.880    0.0000    2.4182    0.0000    0.0000    0.0000    0.0000    0.0000    2.3462      0.0000      0.0000
     0.885    0.0000    2.4208    0.0001    0.0000    0.0000    0.0000    0.0001    2.3487      0.0000      0.0000
     0.890    0.0000    2.4229    0.0008    0.0000    0.0000    0.0000    0.0008    2.3508      0.0000      0.0000
     0.895    0.0000    2.4235    0.0039    0.0000    0.0000    0.0000    0.0039    2.3513      0.0000      0.0000
     0.900    0.0000    2.4237    0.0156    0.0000    0.0000    0.0000    0.0156    2.3515      0.0000      0.0000
     0.905    0.0000    2.4250    0.0517    0.0000    0.0000    0.0000    0.0517    2.3528      0.0000      0.0000
     0.910    0.0000    2.4263    0.1422    0.0000    0.0000    0.0000    0.1422    2.3541      0.0000      0.0000
     0.915    0.0000    2.4277    0.3263    0.0000    0.0000    0.0000    0.3263    2.3554      0.0000      0.0000
     0.920    0.0000    2.4287    0.6302    0.0000    0.0000    0.0000    0.6302    2.3564      0.0000      0.0000
     0.925    0.0000    2.4283    1.0366    0.0000    0.0000    0.0000    1.0366    2.3560      0.0000      0.0000
     0.930    0.0000    2.4275    1.4781    0.0000    0.0000    0.0000    1.4781    2.3553      0.0000      0.0000
     0.935    0.0000    2.4277    1.8683    0.0000    0.0000    0.0000    1.8683    2.3557      0.0000      0.0000
