# log likelihood values for the three models given below.
# for the good model, ln(L) = -35.52
# for the bad model, ln(L) = -168.97
# for the worse model, ln(L) = -inf
#  lam  flam  ferr  flam_good  flam_bad  flam_worse
11730.000  5.774e-15  5.774e-16  6.288e-15  7.547e-15  8.580e-15
11740.000  8.079e-15  8.079e-16  7.661e-15  8.620e-15  8.607e-15
11750.000  9.029e-15  9.029e-16  8.766e-15  9.108e-15  8.663e-15
11760.000  9.522e-15  9.522e-16  9.447e-15  9.424e-15  8.671e-15
11770.000  9.995e-15  9.995e-16  9.761e-15  9.598e-15  8.646e-15
11780.000  1.007e-14  1.007e-15  9.977e-15  9.673e-15  8.584e-15
11790.000  9.983e-15  9.983e-16  1.008e-14  9.700e-15  8.549e-15
11800.000  1.014e-14  1.014e-15  1.010e-14  9.724e-15  8.551e-15
11810.000  1.004e-14  1.004e-15  1.013e-14  9.748e-15  8.527e-15
11820.000  1.009e-14  1.009e-15  1.016e-14  9.751e-15  8.471e-15
11830.000  1.049e-14  1.049e-15  1.017e-14  9.743e-15  8.449e-15
11840.000  1.028e-14  1.028e-15  1.016e-14  9.757e-15  8.414e-15
11850.000  1.023e-14  1.023e-15  1.017e-14  9.780e-15  8.301e-15
11860.000  1.007e-14  1.007e-15  1.019e-14  9.759e-15  8.043e-15
11870.000  1.009e-14  1.009e-15  1.018e-14  9.650e-15  7.616e-15
11880.000  1.020e-14  1.020e-15  1.010e-14  9.586e-15  6.762e-15
11890.000  1.008e-14  1.008e-15  9.998e-15  9.637e-15  6.030e-15
11900.000  9.760e-15  9.760e-16  1.002e-14  9.731e-15  6.018e-15
11910.000  1.019e-14  1.019e-15  1.012e-14  9.791e-15  6.830e-15
11920.000  1.036e-14  1.036e-15  1.019e-14  9.784e-15  7.545e-15
11930.000  1.041e-14  1.041e-15  1.019e-14  9.746e-15  8.023e-15
11940.000  1.041e-14  1.041e-15  1.015e-14  9.737e-15  8.228e-15
11950.000  9.763e-15  9.763e-16  1.012e-14  9.746e-15  8.352e-15
11960.000  1.006e-14  1.006e-15  1.014e-14  9.730e-15  8.425e-15
11970.000  1.039e-14  1.039e-15  1.013e-14  9.707e-15  8.433e-15
11980.000  9.925e-15  9.925e-16  1.011e-14  9.665e-15  8.413e-15
11990.000  1.012e-14  1.012e-15  1.006e-14  9.629e-15  8.457e-15
12000.000  1.010e-14  1.010e-15  1.001e-14  9.613e-15  8.512e-15
12010.000  1.000e-14  1.000e-15  9.991e-15  9.592e-15  8.496e-15
12020.000  1.007e-14  1.007e-15  9.970e-15  9.541e-15  8.471e-15
12030.000  9.866e-15  9.866e-16  9.923e-15  9.486e-15  8.497e-15
12040.000  9.666e-15  9.666e-16  9.857e-15  9.405e-15  8.507e-15
12050.000  9.783e-15  9.783e-16  9.792e-15  9.276e-15  8.508e-15
12060.000  1.000e-14  1.000e-15  9.662e-15  9.018e-15  8.549e-15
12070.000  9.374e-15  9.374e-16  9.448e-15  8.536e-15  8.597e-15
12080.000  9.205e-15  9.205e-16  9.019e-15  7.804e-15  8.589e-15
12090.000  8.466e-15  8.466e-16  8.363e-15  6.584e-15  8.508e-15
12100.000  7.540e-15  7.540e-16  7.160e-15  6.012e-15  8.418e-15
12110.000  5.477e-15  5.477e-16  6.340e-15  6.560e-15  8.389e-15
12120.000  6.291e-15  6.291e-16  6.586e-15  7.607e-15  8.431e-15
12130.000  7.885e-15  7.885e-16  7.605e-15  8.490e-15  8.474e-15
12140.000  8.716e-15  8.716e-16  8.632e-15  8.897e-15  8.477e-15
12150.000  9.149e-15  9.149e-16  9.128e-15  9.153e-15  8.477e-15
12160.000  9.691e-15  9.691e-16  9.437e-15  9.279e-15  8.468e-15
12170.000  9.672e-15  9.672e-16  9.599e-15  9.344e-15  8.380e-15
12180.000  9.542e-15  9.542e-16  9.674e-15  9.354e-15  8.313e-15
12190.000  9.776e-15  9.776e-16  9.689e-15  9.380e-15  8.331e-15
12200.000  9.744e-15  9.744e-16  9.701e-15  9.425e-15  8.396e-15
12210.000  9.903e-15  9.903e-16  9.750e-15  9.438e-15  8.418e-15
12220.000  9.313e-15  9.313e-16  9.778e-15  9.394e-15  8.400e-15
12230.000  1.016e-14  1.016e-15  9.733e-15  9.378e-15  8.390e-15
12240.000  9.721e-15  9.721e-16  9.707e-15  9.420e-15  8.371e-15
12250.000  9.681e-15  9.681e-16  9.739e-15  9.444e-15  8.286e-15
12260.000  9.583e-15  9.583e-16  9.767e-15  9.448e-15  8.253e-15
12270.000  9.764e-15  9.764e-16  9.769e-15  9.458e-15  8.299e-15
12280.000  9.838e-15  9.838e-16  9.780e-15  9.458e-15  8.315e-15
