#  z  dl_cm  age_gyr  dl_K_sum
0.1700  2.52525516e+27  1.13527e+01  40.210
0.1710  2.54165422e+27  1.13417e+01  40.219
0.1720  2.55807017e+27  1.13308e+01  40.229
0.1730  2.57450297e+27  1.13198e+01  40.239
0.1740  2.59095262e+27  1.13089e+01  40.249
0.1750  2.60741909e+27  1.12980e+01  40.258
0.1760  2.62390236e+27  1.12871e+01  40.268
0.1770  2.64040242e+27  1.12762e+01  40.278
0.1780  2.65691923e+27  1.12653e+01  40.287
0.1790  2.67345279e+27  1.12544e+01  40.297
0.1800  2.69000306e+27  1.12436e+01  40.306
0.1810  2.70657004e+27  1.12328e+01  40.316
0.1820  2.72315370e+27  1.12219e+01  40.325
0.1830  2.73975403e+27  1.12111e+01  40.335
0.1840  2.75637099e+27  1.12003e+01  40.344
0.1850  2.77300458e+27  1.11896e+01  40.354
0.1860  2.78965477e+27  1.11788e+01  40.363
0.1870  2.80632154e+27  1.11681e+01  40.373
0.1880  2.82300487e+27  1.11574e+01  40.382
0.1890  2.83970474e+27  1.11466e+01  40.392
0.1900  2.85642114e+27  1.11359e+01  40.401
0.1910  2.87315404e+27  1.11253e+01  40.411
0.1920  2.88990342e+27  1.11146e+01  40.420
0.1930  2.90666927e+27  1.11039e+01  40.430
0.1940  2.92345156e+27  1.10933e+01  40.439
0.1950  2.94025027e+27  1.10827e+01  40.449
0.1960  2.95706539e+27  1.10721e+01  40.458
0.1970  2.97389689e+27  1.10615e+01  40.468
0.1980  2.99074475e+27  1.10509e+01  40.477
0.1990  3.00760896e+27  1.10403e+01  40.487
0.2000  3.02448950e+27  1.10298e+01  40.496
0.2010  3.04138634e+27  1.10192e+01  40.505
0.2020  3.05829947e+27  1.10087e+01  40.515
0.2030  3.07522886e+27  1.09982e+01  40.524
0.2040  3.09217450e+27  1.09877e+01  40.533
0.2050  3.10913637e+27  1.09772e+01  40.542
0.2060  3.12611444e+27  1.09668e+01  40.552
0.2070  3.14310870e+27  1.09563e+01  40.561
0.2080  3.16011913e+27  1.09459e+01  40.570
0.2090  3.17714571e+27  1.09354e+01  40.579
0.2100  3.19418842e+27  1.09250e+01  40.588
0.2110  3.21124723e+27  1.09146e+01  40.596
0.2120  3.22832214e+27  1.09043e+01  40.605
0.2130  3.24541312e+27  1.08939e+01  40.614
0.2140  3.26252015e+27  1.08835e+01  40.622
0.2150  3.27964321e+27  1.08732e+01  40.631
0.2160  3.29678229e+27  1.08629e+01  40.639
0.2170  3.31393736e+27  1.08526e+01  40.648
0.2180  3.33110840e+27  1.08423e+01  40.656
0.2190  3.34829539e+27  1.08320e+01  40.664
0.2200  3.36549832e+27  1.08217e+01  40.672
0.2210  3.38271717e+27  1.08115e+01  40.680
0.2220  3.39995191e+27  1.08012e+01  40.688
0.2230  3.41720253e+27  1.07910e+01  40.696
0.2240  3.43446901e+27  1.07808e+01  40.704
0.2250  3.45175133e+27  1.07706e+01  40.712
0.2260  3.46904947e+27  1.07604e+01  40.720
0.2270  3.48636340e+27  1.07502e+01  40.728
0.2280  3.50369312e+27  1.07401e+01  40.736
0.2290  3.52103860e+27  1.07299e+01  40.743
0.2300  3.53839982e+27  1.07198e+01  40.751
0.2310  3.55577677e+27  1.07097e+01  40.758
0.2320  3.57316941e+27  1.06996e+01  40.766
0.2330  3.59057775e+27  1.06895e+01  40.773
0.2340  3.60800175e+27  1.06794e+01  40.781
0.2350  3.62544140e+27  1.06693e+01  40.788
0.2360  3.64289667e+27  1.06593e+01  40.796
0.2370  3.66036756e+27  1.06493e+01  40.803
0.2380  3.67785403e+27  1.06392e+01  40.810
0.2390  3.69535608e+27  1.06292e+01  40.817
0.2400  3.71287367e+27  1.06192e+01  40.824
0.2410  3.73040680e+27  1.06092e+01  40.832
0.2420  3.74795545e+27  1.05993e+01  40.839
0.2430  3.76551958e+27  1.05893e+01  40.846
0.2440  3.78309920e+27  1.05794e+01  40.853
0.2450  3.80069427e+27  1.05695e+01  40.859
0.2460  3.81830478e+27  1.05595e+01  40.866
0.2470  3.83593071e+27  1.05496e+01  40.873
0.2480  3.85357204e+27  1.05398e+01  40.880
0.2490  3.87122875e+27  1.05299e+01  40.887
0.2500  3.88890082e+27  1.05200e+01  40.893
0.2510  3.90658824e+27  1.05102e+01  40.900
0.2520  3.92429098e+27  1.05003e+01  40.907
0.2530  3.94200903e+27  1.04905e+01  40.913
0.2540  3.95974237e+27  1.04807e+01  40.920
0.2550  3.97749097e+27  1.04709e+01  40.926
0.2560  3.99525483e+27  1.04611e+01  40.932
0.2570  4.01303392e+27  1.04514e+01  40.939
0.2580  4.03082822e+27  1.04416e+01  40.945
0.2590  4.04863771e+27  1.04319e+01  40.951
0.2600  4.06646238e+27  1.04221e+01  40.958
0.2610  4.08430221e+27  1.04124e+01  40.964
0.2620  4.10215717e+27  1.04027e+01  40.970
0.2630  4.12002726e+27  1.03930e+01  40.976
0.2640  4.13791244e+27  1.03834e+01  40.983
0.2650  4.15581271e+27  1.03737e+01  40.989
0.2660  4.17372804e+27  1.03640e+01  40.995
0.2670  4.19165842e+27  1.03544e+01  41.001
0.2680  4.20960382e+27  1.03448e+01  41.007
0.2690  4.22756424e+27  1.03352e+01  41.013
0.2700  4.24553964e+27  1.03256e+01  41.019
0.2710  4.26353002e+27  1.03160e+01  41.025
0.2720  4.28153534e+27  1.03064e+01  41.031
0.2730  4.29955561e+27  1.02968e+01  41.037
0.2740  4.31759079e+27  1.02873e+01  41.043
0.2750  4.33564086e+27  1.02778e+01  41.049
0.2760  4.35370582e+27  1.02682e+01  41.054
0.2770  4.37178564e+27  1.02587e+01  41.060
0.2780  4.38988030e+27  1.02492e+01  41.066
0.2790  4.40798978e+27  1.02398e+01  41.072
